fn,target_name,length,model,status,error,tabular_representation,tabular_numeric_transform,train_size,val_size,test_size,seed,duration_ms,adaptation_duration_ms,test_duration_ms,total_wall_clock_duration_ms,val_acc,val_acc_std,test_acc,test_acc_std,best_params,best_cv_score,num_trials,selection_split,mean_fit_count
fn_o,cdc_diabetes,21,decision_tree,ok,,semantic,positive_affine,256,256,2000,42,380,375,2,380,0.66875,0.0038273277230987156,0.6645,0.003271085446759245,"{""max_depth"": 5, ""min_samples_leaf"": 1, ""criterion"": ""gini""}",0.66875,5,val,30.0
fn_o,cdc_diabetes,21,random_forest,ok,,semantic,positive_affine,256,256,2000,42,21985,21718,266,21985,0.709375,0.006346905003621844,0.7072,0.007426977851050871,"{""n_estimators"": 128, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.709375,5,val,12.0
fn_o,cdc_diabetes,21,extra_trees,ok,,semantic,positive_affine,256,256,2000,42,17580,17288,291,17580,0.71171875,0.004555431167847891,0.7021999999999999,0.006423394741100696,"{""n_estimators"": 128, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.71171875,5,val,12.0
fn_o,cdc_diabetes,21,adaboost,ok,,semantic,positive_affine,256,256,2000,42,12642,12472,168,12642,0.7109375,0.0,0.715,0.0,"{""n_estimators"": 100, ""learning_rate"": 1.0}",0.7109375,5,val,12.0
fn_o,cdc_diabetes,21,gradient_boosting,ok,,semantic,positive_affine,256,256,2000,42,10325,10305,17,10325,0.6953125,0.0,0.69,0.0,"{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}",0.6953125,5,val,8.0
fn_o,cdc_diabetes,21,hist_gradient_boosting,ok,,semantic,positive_affine,256,256,2000,42,12583,12501,80,12583,0.6953125,0.0,0.6825,0.0,"{""max_iter"": 200, ""learning_rate"": 0.03, ""max_leaf_nodes"": 15}",0.6953125,5,val,8.0
fn_o,cdc_diabetes,21,logistic_regression,ok,,semantic,positive_affine,256,256,2000,42,78,73,0,78,0.71484375,0.0,0.7095,0.0,"{""C"": 1.0}",0.71484375,5,val,3.0
fn_o,cdc_diabetes,21,mlp,ok,,semantic,positive_affine,256,256,2000,42,1637,1628,7,1637,0.70625,0.006720566614877052,0.7040000000000001,0.006549809157525138,"{""hidden_layer_sizes"": [64], ""alpha"": 0.0001}",0.70625,5,val,6.0
fn_o,cdc_diabetes,21,xgboost,ok,,semantic,positive_affine,256,256,2000,42,5821,5802,18,5821,0.70234375,0.005740991584648074,0.6856000000000001,0.004789572005931194,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",0.70234375,5,val,32.0
