fn,target_name,length,model,status,error,train_size,val_size,test_size,seed,duration_ms,adaptation_duration_ms,test_duration_ms,total_wall_clock_duration_ms,val_acc,val_acc_std,test_acc,test_acc_std,best_params,best_cv_score,num_trials,selection_split,mean_fit_count
fn_o,cdc_diabetes,21,decision_tree,ok,,256,256,2000,42,252,249,0,252,0.65078125,0.0019136638615493578,0.6672,0.00024494897427829084,"{""max_depth"": 5, ""min_samples_leaf"": 5, ""criterion"": ""entropy""}",0.65078125,5,val,30.0
fn_o,cdc_diabetes,21,random_forest,ok,,256,256,2000,42,19932,19706,223,19932,0.73515625,0.002923169833417142,0.7202999999999999,0.002821347195933192,"{""n_estimators"": 128, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.73515625,5,val,12.0
fn_o,cdc_diabetes,21,extra_trees,ok,,256,256,2000,42,16155,15807,344,16155,0.75625,0.003983608994994363,0.7153,0.0033555923471125086,"{""n_estimators"": 256, ""max_depth"": 8, ""min_samples_leaf"": 5}",0.75625,5,val,12.0
fn_o,cdc_diabetes,21,adaboost,ok,,256,256,2000,42,9536,9481,54,9536,0.71875,0.0,0.718,0.0,"{""n_estimators"": 50, ""learning_rate"": 0.5}",0.71875,5,val,12.0
fn_o,cdc_diabetes,21,gradient_boosting,ok,,256,256,2000,42,5126,5112,12,5126,0.69921875,0.0,0.7027,0.003443835071544543,"{""n_estimators"": 200, ""learning_rate"": 0.03, ""max_depth"": 2}",0.69921875,5,val,8.0
fn_o,cdc_diabetes,21,hist_gradient_boosting,ok,,256,256,2000,42,7240,7184,54,7240,0.66796875,0.0,0.6835,0.0,"{""max_iter"": 200, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.66796875,5,val,8.0
fn_o,cdc_diabetes,21,logistic_regression,ok,,256,256,2000,42,155,152,0,155,0.73046875,0.0,0.7225,0.0,"{""C"": 0.1}",0.73046875,5,val,3.0
fn_o,cdc_diabetes,21,mlp,ok,,256,256,2000,42,1010,998,8,1010,0.715625,0.013395647030845505,0.6963999999999999,0.00900777441991081,"{""hidden_layer_sizes"": [64], ""alpha"": 0.0001}",0.715625,5,val,6.0
fn_o,cdc_diabetes,21,xgboost,error,xgboost is not installed,256,256,2000,42,0,0,0,0,,,,,{},,5,,0
fn_n,mushroom,20,decision_tree,ok,,256,256,2000,42,376,371,0,376,0.76328125,0.008043461047646094,0.7411,0.008511169132381277,"{""max_depth"": null, ""min_samples_leaf"": 1, ""criterion"": ""entropy""}",0.76328125,5,val,30.0
