fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,sampling_strategy,sampling_mistake_count,sampling_boundary_count,sampling_anchor_count,sampling_fill_count,sampling_positive_count,sampling_negative_count,sampling_score_eval_errors,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,candidate_selection,candidate_selected,candidate_reject_reason,candidate_ensemble_train_acc,candidate_ensemble_val_acc,candidate_ensemble_test_acc,candidate_ensemble_val_drop,candidate_code_sha256,candidate_code_chars,candidate_source_count,candidate_source_stages,eval_errors
fn_o,cdc_diabetes,21,256,1,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.2890625,0.4499707969363128,0.7109375,0.7109375,0.67578125,0.6995,0.7109375,0.67578125,0.6995,gpt-5.4,gpt-5.4,28167,8332,7840,,,,0.0,0.0,0.0,0,149786,0,0,0,repair_disabled,,0.7109375,0.7109375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.7109375, ""mistakes"": 74, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.7109375, ""mistakes"": 74, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.7109375,0.67578125,0.6995,,415bdfdd42adbea2eab397cb8a132f2a3bd36ebc531567951f697e3a7ae5fc58,1246,1,initial,0
fn_o,cdc_diabetes,21,256,2,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.2890625,0.4499707969363128,0.7109375,0.7109375,0.70703125,0.681,0.7109375,0.70703125,0.681,gpt-5.4,gpt-5.4,28167,11020,10667,,,,0.0,0.0,0.0,0,189371,0,0,0,repair_disabled,,0.7109375,0.7109375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.7109375, ""mistakes"": 74, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.7109375, ""mistakes"": 74, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.7109375,0.70703125,0.681,,bd21b7f9add5d8d713e62389d55140f33fbc5e900f4c10fcbcd8ec08e6375092,929,1,initial,0
fn_o,cdc_diabetes,21,256,3,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.27734375,0.4788379740185047,0.72265625,0.72265625,0.6875,0.701,0.72265625,0.6875,0.701,gpt-5.4,gpt-5.4,28167,4678,4369,,,,0.0,0.0,0.0,0,84655,0,0,0,repair_disabled,,0.72265625,0.72265625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.72265625, ""mistakes"": 71, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.72265625, ""mistakes"": 71, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.72265625,0.6875,0.701,,a80531cd8f954a3f13a49ffbc48266dc363fe55136001a748c5bf0897afc5c28,685,1,initial,0
fn_o,cdc_diabetes,21,256,4,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.29296875,0.4405044588647577,0.70703125,0.70703125,0.72265625,0.715,0.70703125,0.72265625,0.715,gpt-5.4,gpt-5.4,28167,9010,8462,,,,0.0,0.0,0.0,0,150892,0,0,0,repair_disabled,,0.70703125,0.70703125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.70703125, ""mistakes"": 75, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.70703125, ""mistakes"": 75, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.70703125,0.72265625,0.715,,f1a2d8c3b03056143d947d010fd3d3ae7b292383b58830c2fa7835e740ab9916,1299,1,initial,0
fn_o,cdc_diabetes,21,256,5,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.28125,0.4691348192964651,0.71875,0.71875,0.67578125,0.701,0.71875,0.67578125,0.701,gpt-5.4,gpt-5.4,28167,4526,3912,,,,0.0,0.0,0.0,0,76786,0,0,0,repair_disabled,,0.71875,0.71875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.71875, ""mistakes"": 72, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.71875, ""mistakes"": 72, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.71875,0.67578125,0.701,,50847763fbdfaf0bbd460d524c8cb0393135c18f13b4b120fdabec08efcd6fca,1472,1,initial,0
