fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,sampling_strategy,sampling_mistake_count,sampling_boundary_count,sampling_anchor_count,sampling_fill_count,sampling_positive_count,sampling_negative_count,sampling_score_eval_errors,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,candidate_selection,candidate_selected,candidate_reject_reason,candidate_ensemble_train_acc,candidate_ensemble_val_acc,candidate_ensemble_test_acc,candidate_ensemble_val_drop,candidate_code_sha256,candidate_code_chars,candidate_source_count,candidate_source_stages,eval_errors
fn_p,htru2,8,256,1,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.08203125,1.207531538210368,0.91796875,0.91796875,0.94140625,0.908,0.91796875,0.94140625,0.908,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,17162,4400,4047,gpt-5.2,1.75,14.0,0.0300335,0.0616,0.0916335,0,75352,0,0,0,repair_disabled,,0.91796875,0.91796875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.91796875, ""mistakes"": 21, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.91796875, ""mistakes"": 21, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.91796875,0.94140625,0.908,,27eafeb57f05615bf58d78d77a6cbf7abd8da843bbf65e59afac64e5091df950,879,1,initial,0
fn_p,htru2,8,256,2,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.08984375,1.1577721188182755,0.91015625,0.91015625,0.91796875,0.895,0.91015625,0.91796875,0.895,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,17162,3485,3029,gpt-5.2,1.75,14.0,0.0300335,0.04879,0.0788235,0,59471,0,0,0,repair_disabled,,0.91015625,0.91015625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.91015625, ""mistakes"": 23, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.91015625, ""mistakes"": 23, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.91015625,0.91796875,0.895,,0f1442ea7770b689d9a8c4450d7582f81b87b757dfa8de6aad0d0c959e49e34e,1159,1,initial,0
fn_p,htru2,8,256,3,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.10546875,1.0689425687749552,0.89453125,0.89453125,0.921875,0.8875,0.89453125,0.921875,0.8875,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,17162,2664,2111,gpt-5.2,1.75,14.0,0.0300335,0.037296,0.0673295,0,40984,0,0,0,repair_disabled,,0.89453125,0.89453125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.89453125, ""mistakes"": 27, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.89453125, ""mistakes"": 27, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.89453125,0.921875,0.8875,,02c9fabfd179da57a4ddb08c3ae9bf06cde18e886560f4071b6f5d159b59877b,1444,1,initial,0
fn_p,htru2,8,256,4,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.07421875,1.2618105809843454,0.92578125,0.92578125,0.953125,0.912,0.92578125,0.953125,0.912,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,17162,2035,1818,gpt-5.2,1.75,14.0,0.0300335,0.028489999999999998,0.0585235,0,35004,0,0,0,repair_disabled,,0.92578125,0.92578125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.92578125, ""mistakes"": 19, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.92578125, ""mistakes"": 19, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.92578125,0.953125,0.912,,2170683456496915ac508b10629fe92191e3fd1510b6285069c2e7a6f4c32acd,536,1,initial,0
fn_p,htru2,8,256,5,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.109375,1.0485705593896184,0.890625,0.890625,0.91015625,0.898,0.890625,0.91015625,0.898,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,17162,1984,1619,gpt-5.2,1.75,14.0,0.0300335,0.027776000000000002,0.0578095,0,32934,0,0,0,repair_disabled,,0.890625,0.890625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.890625, ""mistakes"": 28, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.890625, ""mistakes"": 28, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.890625,0.91015625,0.898,,79839a9a56270282cbcece238429ac6a6ec6328f37bac0855428d96a1875ed7f,963,1,initial,0
