fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,eval_errors
fn_p,htru2,8,256,1,1,1,1,1,1,True,256,0,,0.0625,1.354025100551105,0.9375,0.9375,0.9375,0.917,0.9375,0.9375,0.917,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,10114,9926,gpt-5.2,1.75,14.0,0.023474500000000002,0.141596,0.1650705,0,164297,0,0,0,repair_disabled,,0.9375,0.9375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.9375, ""mistakes"": 16, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.9375, ""mistakes"": 16, ""accepted_as_best"": false}]",0,0
fn_p,htru2,8,256,2,1,1,1,1,1,True,256,0,,0.07421875,1.2618105809843454,0.92578125,0.92578125,0.9140625,0.9,0.92578125,0.9140625,0.9,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,6971,6678,gpt-5.2,1.75,14.0,0.023474500000000002,0.097594,0.1210685,0,112003,0,0,0,repair_disabled,,0.92578125,0.92578125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.92578125, ""mistakes"": 19, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.92578125, ""mistakes"": 19, ""accepted_as_best"": false}]",0,0
fn_p,htru2,8,256,3,1,1,1,1,1,True,256,0,,0.0703125,1.290949457887655,0.9296875,0.9296875,0.91015625,0.8895,0.9296875,0.91015625,0.8895,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,8779,8436,gpt-5.2,1.75,14.0,0.023474500000000002,0.122906,0.1463805,0,120525,0,0,0,repair_disabled,,0.9296875,0.9296875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.9296875, ""mistakes"": 18, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.9296875, ""mistakes"": 18, ""accepted_as_best"": false}]",0,0
fn_p,htru2,8,256,4,1,1,1,1,1,True,256,0,,0.0546875,1.424940198270714,0.9453125,0.9453125,0.9609375,0.93,0.9453125,0.9609375,0.93,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,13416,12962,gpt-5.2,1.75,14.0,0.023474500000000002,0.18782400000000002,0.21129850000000003,0,166108,0,0,0,repair_disabled,,0.9453125,0.9453125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.9453125, ""mistakes"": 14, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.9453125, ""mistakes"": 14, ""accepted_as_best"": false}]",0,0
fn_p,htru2,8,256,5,1,1,1,1,1,True,256,0,,0.109375,1.0485705593896184,0.890625,0.890625,0.921875,0.8795,0.890625,0.921875,0.8795,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,9046,8656,gpt-5.2,1.75,14.0,0.023474500000000002,0.126644,0.15011850000000002,0,128985,0,0,0,repair_disabled,,0.890625,0.890625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.890625, ""mistakes"": 28, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.890625, ""mistakes"": 28, ""accepted_as_best"": false}]",0,0
