fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,sampling_strategy,sampling_mistake_count,sampling_boundary_count,sampling_anchor_count,sampling_fill_count,sampling_positive_count,sampling_negative_count,sampling_score_eval_errors,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,candidate_selection,candidate_selected,candidate_reject_reason,candidate_ensemble_train_acc,candidate_ensemble_val_acc,candidate_ensemble_test_acc,candidate_ensemble_val_drop,eval_errors
fn_o,cdc_diabetes,21,256,1,1,1,1,1,1,False,256,0,label_balanced_diverse,,,,256,128,128,,,0.3087999999999823,0.40286769966965386,0.671875,0.6912,0.674,0.684,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28179,1333,881,gpt-5.2,1.75,14.0,0.049313249999999996,0.018661999999999998,0.06797524999999999,0,15527,0,0,0,repair_disabled,,0.671875,0.671875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.671875, ""mistakes"": 84, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.671875, ""mistakes"": 84, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.6912,0.674,0.684,,0
fn_o,cdc_diabetes,21,256,1,1,2,2,2,2,True,256,0,label_balanced_diverse,,,,256,128,128,,,0.2971999999999836,0.4303335217347083,0.66015625,0.7028,0.6905,0.7036,0.7028,0.6905,0.7036,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28179,1735,1053,gpt-5.2,1.75,14.0,0.049313249999999996,0.02429,0.07360325,0,21526,0,0,0,repair_disabled,,0.66015625,0.66015625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.66015625, ""mistakes"": 87, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.66015625, ""mistakes"": 87, ""accepted_as_best"": false}]",0,best_ensemble_val,True,,0.7028,0.6905,0.7036,,0
fn_o,cdc_diabetes,21,256,1,1,3,3,3,3,False,256,0,label_balanced_diverse,,,,256,128,128,,,0.41279999999997086,0.17620113156653655,0.609375,0.5872,0.572,0.5865,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28179,2023,1545,gpt-5.2,1.75,14.0,0.049313249999999996,0.028322,0.07763524999999999,0,20607,0,0,0,repair_disabled,,0.609375,0.609375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.609375, ""mistakes"": 100, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.609375, ""mistakes"": 100, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.5872,0.572,0.5865,,0
fn_o,cdc_diabetes,21,256,1,2,1,4,4,4,False,256,0,label_balanced_diverse,,,,256,128,128,,,0.46404039676709324,0.07204359034657404,0.18359375,0.6978,0.687,0.6948,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28112,2102,1626,gpt-5.2,1.75,14.0,0.049196000000000004,0.029428000000000003,0.078624,0,29692,0,0,0,repair_disabled,,0.18359375,0.18359375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.18359375, ""mistakes"": 209, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.18359375, ""mistakes"": 209, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7028,0.6905,0.7036,0.0,0
fn_o,cdc_diabetes,21,256,1,2,2,5,5,5,True,256,0,label_balanced_diverse,,,,256,128,128,,,0.44589877368050923,0.10862771381335706,0.35546875,0.6784,0.6705,0.6806,0.7028,0.6905,0.7036,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28112,1335,748,gpt-5.2,1.75,14.0,0.049196000000000004,0.018690000000000002,0.067886,0,15959,0,0,0,repair_disabled,,0.35546875,0.35546875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.35546875, ""mistakes"": 165, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.35546875, ""mistakes"": 165, ""accepted_as_best"": false}]",0,best_ensemble_val,True,,0.7028,0.6905,0.7036,0.0,0
fn_o,cdc_diabetes,21,256,1,2,3,6,6,6,False,256,0,label_balanced_diverse,,,,256,128,128,,,0.48302301273658144,0.03396703175989946,0.29296875,0.6037,0.5875,0.6053,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28112,1468,696,gpt-5.2,1.75,14.0,0.049196000000000004,0.020551999999999997,0.069748,0,14570,0,0,0,repair_disabled,,0.29296875,0.29296875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.29296875, ""mistakes"": 181, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.29296875, ""mistakes"": 181, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7028,0.6905,0.7036,0.0,0
fn_o,cdc_diabetes,21,256,1,3,1,7,7,7,True,256,0,label_balanced_diverse,,,,256,128,128,,,0.48097100824088523,0.03807637402576666,0.15625,0.702,0.681,0.6987,0.7028,0.6905,0.7036,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28062,1416,939,gpt-5.2,1.75,14.0,0.0491085,0.019823999999999998,0.0689325,0,18097,0,0,0,repair_disabled,,0.15625,0.15625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.15625, ""mistakes"": 216, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.15625, ""mistakes"": 216, ""accepted_as_best"": false}]",0,best_ensemble_val,True,,0.7028,0.6905,0.7036,0.0,0
fn_o,cdc_diabetes,21,256,1,3,2,8,8,8,False,256,0,label_balanced_diverse,,,,256,128,128,,,0.5157394315521291,-0.03148926695656815,0.703125,0.3587,0.367,0.3556,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28062,2122,1688,gpt-5.2,1.75,14.0,0.0491085,0.029708000000000002,0.0788165,0,28038,0,0,0,repair_disabled,,0.703125,0.703125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.703125, ""mistakes"": 76, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.703125, ""mistakes"": 76, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7028,0.6905,0.7036,0.0,0
fn_o,cdc_diabetes,21,256,1,3,3,9,9,9,False,256,0,label_balanced_diverse,,,,256,128,128,,,0.4937924807906659,0.01241567633410956,0.8046875,0.3486,0.3645,0.3479,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28062,1183,775,gpt-5.2,1.75,14.0,0.0491085,0.016562,0.06567049999999999,0,14875,0,0,0,repair_disabled,,0.8046875,0.8046875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.8046875, ""mistakes"": 50, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.8046875, ""mistakes"": 50, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7028,0.6905,0.7036,0.0,0
