fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,sampling_strategy,sampling_mistake_count,sampling_boundary_count,sampling_anchor_count,sampling_fill_count,sampling_positive_count,sampling_negative_count,sampling_score_eval_errors,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,candidate_selection,candidate_selected,candidate_reject_reason,candidate_ensemble_train_acc,candidate_ensemble_val_acc,candidate_ensemble_test_acc,candidate_ensemble_val_drop,candidate_code_sha256,candidate_code_chars,candidate_source_count,candidate_source_stages,eval_errors
fn_p,htru2,8,256,1,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.15234375,0.8581678537054065,0.84765625,0.84765625,0.9296875,0.8735,0.84765625,0.9296875,0.8735,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,10716,10248,gpt-5.2,1.75,14.0,0.023474500000000002,0.150024,0.1734985,0,178850,0,0,0,repair_disabled,,0.84765625,0.84765625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.84765625, ""mistakes"": 39, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.84765625, ""mistakes"": 39, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.84765625,0.9296875,0.8735,,956b0406dcbcc5e2f711e84bac4124431f7b54b5ab39ca435cd53dcca3fac8ec,1159,1,initial,0
fn_p,htru2,8,256,2,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.1171875,1.0096688088050652,0.8828125,0.8828125,0.921875,0.9045,0.8828125,0.921875,0.9045,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,6440,6239,gpt-5.2,1.75,14.0,0.023474500000000002,0.09016,0.1136345,0,106130,0,0,0,repair_disabled,,0.8828125,0.8828125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.8828125, ""mistakes"": 30, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.8828125, ""mistakes"": 30, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.8828125,0.921875,0.9045,,a51dd70ef76ff171cdff47bfa0244182c97bc553af56e597ed471d464cf254d6,371,1,initial,0
fn_p,htru2,8,256,3,1,1,1,1,1,True,256,0,weighted_random,,,,,128,128,,,0.0859375,1.1821393309996928,0.9140625,0.9140625,0.9453125,0.917,0.9140625,0.9453125,0.917,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,13414,9502,9089,gpt-5.2,1.75,14.0,0.023474500000000002,0.133028,0.15650250000000002,0,154292,0,0,0,repair_disabled,,0.9140625,0.9140625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.9140625, ""mistakes"": 22, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.9140625, ""mistakes"": 22, ""accepted_as_best"": false}]",0,first_acceptable,True,,0.9140625,0.9453125,0.917,,050236d8b7a90a2c8f2145bb45ae5f0092b83dc5f1b63a1f328d6ee6f6cee26d,871,1,initial,0
