fn,target_name,length,batch_size,trial,round,retry,attempt,api_attempt_start,api_attempt_end,accepted,sampled_unique,sampled_duplicate_count,sampling_strategy,sampling_mistake_count,sampling_boundary_count,sampling_anchor_count,sampling_fill_count,sampling_positive_count,sampling_negative_count,sampling_score_eval_errors,compile_error,weighted_error,alpha,batch_acc,train_acc,val_acc,test_acc,ensemble_train_acc,ensemble_val_acc,ensemble_test_acc,request_model,returned_model,prompt_tokens,completion_tokens,reasoning_tokens,pricing_model,input_rate_per_million,output_rate_per_million,estimated_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,tool_uses,duration_ms,repair_rounds_requested,repair_calls,repair_best_step,repair_gate_reason,repair_gate_weighted_error,repair_initial_batch_acc,repair_final_batch_acc,repair_history,whole_train_repair_rounds_requested,candidate_selection,candidate_selected,candidate_reject_reason,candidate_ensemble_train_acc,candidate_ensemble_val_acc,candidate_ensemble_test_acc,candidate_ensemble_val_drop,eval_errors
fn_o,cdc_diabetes,21,256,1,1,1,1,1,1,False,256,0,stratified_diverse,0,0,0,256,128,128,0,,0.3642999999999762,0.27837452496397386,0.55078125,0.6357,0.6225,0.6304,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28179,1223,679,gpt-5.2,1.75,14.0,0.049313249999999996,0.017122,0.06643525,0,15245,0,0,0,repair_disabled,,0.55078125,0.55078125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.55078125, ""mistakes"": 115, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.55078125, ""mistakes"": 115, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.6357,0.6225,0.6304,,0
fn_o,cdc_diabetes,21,256,1,1,2,2,2,2,False,256,0,stratified_diverse,0,0,0,256,128,128,0,,0.29829999999998347,0.4277031353688096,0.65625,0.7017,0.6875,0.7015,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28179,845,400,gpt-5.2,1.75,14.0,0.049313249999999996,0.01183,0.061143249999999996,0,10324,0,0,0,repair_disabled,,0.65625,0.65625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.65625, ""mistakes"": 88, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.65625, ""mistakes"": 88, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7017,0.6875,0.7015,,0
fn_o,cdc_diabetes,21,256,1,1,3,3,3,3,True,256,0,stratified_diverse,0,0,0,256,128,128,0,,0.29849999999998345,0.42722548335496896,0.65234375,0.7015,0.69,0.7046,0.7015,0.69,0.7046,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28179,923,439,gpt-5.2,1.75,14.0,0.049313249999999996,0.012922,0.06223524999999999,0,10860,0,0,0,repair_disabled,,0.65234375,0.65234375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.65234375, ""mistakes"": 89, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.65234375, ""mistakes"": 89, ""accepted_as_best"": false}]",0,best_ensemble_val,True,,0.7015,0.69,0.7046,,0
fn_o,cdc_diabetes,21,256,1,2,1,4,4,4,False,256,0,stratified_diverse,154,51,51,0,127,129,0,,0.4506879849473232,0.09894567140266644,0.359375,0.694,0.683,0.697,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28097,1689,1115,gpt-5.2,1.75,14.0,0.04916975,0.023646,0.07281575,0,19056,0,0,0,repair_disabled,,0.359375,0.359375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.359375, ""mistakes"": 164, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.359375, ""mistakes"": 164, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7015,0.69,0.7046,0.0,0
fn_o,cdc_diabetes,21,256,1,2,2,5,5,5,True,256,0,stratified_diverse,154,51,51,0,127,129,0,,0.4401181483564385,0.12034128620129242,0.484375,0.6366,0.632,0.636,0.7015,0.69,0.7046,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28097,3024,2495,gpt-5.2,1.75,14.0,0.04916975,0.042336000000000006,0.09150575,0,35644,0,0,0,repair_disabled,,0.484375,0.484375,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.484375, ""mistakes"": 132, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.484375, ""mistakes"": 132, ""accepted_as_best"": false}]",0,best_ensemble_val,True,,0.7015,0.69,0.7046,0.0,0
fn_o,cdc_diabetes,21,256,1,2,3,6,6,6,False,256,0,stratified_diverse,154,51,51,0,127,129,0,,0.4506438106426835,0.09903488857819599,0.3828125,0.6622,0.6515,0.6615,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28097,1570,727,gpt-5.2,1.75,14.0,0.04916975,0.02198,0.07114975,0,16162,0,0,0,repair_disabled,,0.3828125,0.3828125,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.3828125, ""mistakes"": 158, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.3828125, ""mistakes"": 158, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7015,0.69,0.7046,0.0,0
fn_o,cdc_diabetes,21,256,1,3,1,7,7,7,True,256,0,stratified_diverse,154,51,51,0,150,106,0,,0.4789956617118475,0.042033414083231316,0.34765625,0.6982,0.6915,0.6974,0.7015,0.69,0.7046,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28074,2073,1595,gpt-5.2,1.75,14.0,0.049129500000000006,0.029022000000000003,0.07815150000000001,0,29335,0,0,0,repair_disabled,,0.34765625,0.34765625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.34765625, ""mistakes"": 167, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.34765625, ""mistakes"": 167, ""accepted_as_best"": false}]",0,best_ensemble_val,True,,0.7015,0.69,0.7046,0.0,0
fn_o,cdc_diabetes,21,256,1,3,2,8,8,8,False,256,0,stratified_diverse,154,51,51,0,150,106,0,,0.48524609123828955,0.029516386263742055,0.28515625,0.6804,0.6685,0.6833,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28074,1399,913,gpt-5.2,1.75,14.0,0.049129500000000006,0.019586,0.06871550000000001,0,15220,0,0,0,repair_disabled,,0.28515625,0.28515625,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.28515625, ""mistakes"": 183, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.28515625, ""mistakes"": 183, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7015,0.69,0.7046,0.0,0
fn_o,cdc_diabetes,21,256,1,3,3,9,9,9,False,256,0,stratified_diverse,154,51,51,0,150,106,0,,0.49047752734671934,0.019047248404796817,0.32421875,0.6985,0.6815,0.6968,,,,gpt-5.2-deep-learning-fundamentals,gpt-5.2-2025-12-11,28074,1447,967,gpt-5.2,1.75,14.0,0.049129500000000006,0.020257999999999998,0.0693875,0,17467,0,0,0,repair_disabled,,0.32421875,0.32421875,"[{""step"": 0, ""status"": ""initial"", ""batch_acc"": 0.32421875, ""mistakes"": 173, ""eval_errors"": 0, ""accepted_as_best"": true}, {""step"": 1, ""status"": ""repair_disabled"", ""batch_acc"": 0.32421875, ""mistakes"": 173, ""accepted_as_best"": false}]",0,best_ensemble_val,False,,0.7015,0.69,0.7046,0.0,0
